	CpGperGC_38	CpGperCpG_38	CpGobsExp_38	priPhyloP_38	verPhastCons_38	mamPhastCons_38	EncH3K27Ac_38	EncH3K4Me1_38	EncH3K4Me3_38	DnaseClusteredHyp_38	DnaseClusteredScore_38	Fantom5Perm_38	GerpRS_38	GerpRSpv_38	rareVar_38	commonVar_38	fracRareCommon_38	dbVARCount_38	numTFBSConserved_38	GCContent_38	priPhastCons_38	verPhyloP_38	mamPhyloP_38	ISCApath_38	DGVCount_38	Fantom5Robust_38	1	CpGobsExp_19	CpGperCpG_19	CpGperGC_19	DGVCount_19	DnaseClusteredHyp_19	DnaseClusteredScore_19	EncH3K27Ac_19	EncH3K4Me1_19	EncH3K4Me3_19	GCContent_19	GerpRS_19	GerpRSpv_19	ISCApath_19	commonVar_19	dbVARCount_19	Fantom5Perm_19	Fantom5Robust_19	fracRareCommon_19	mamPhastCons_19	mamPhyloP_19	numTFBSConserved_19	priPhastCons_19	priPhyloP_19	rareVar_19	verPhastCons_19	verPhyloP_19
DnaseClusteredScore_38	0.15038031762418178	0.15264958688617544	0.15204193077695122	0.03520679569854883	0.05792328119834755	0.062051950629849154	0.00781180171744657	0.05346185687714119	0.016594232997829923	0.7755240969611495	1.0	0.02075266673847067	0.080484240598305	0.009347140855858499	0.007875798094568643	-0.021766349170037905	0.03318209960738747	-0.0020729789354526035	0.4222015544166896	0.16713680284583973	0.07098103125994332	0.05430788319147926	0.03434058530357499	-0.006328684161094935	-0.01764210476073521	0.020637639545943873	-0.0017035867812702603	0.15275277722536149	0.15289277059630824	0.15044320288433458	-0.018047024064181162	0.5944217680754897	0.7178836766809145	0.20501804626747333	0.34828313564622543	0.21750156562932507	0.16713604885435462	0.06581565658458495	0.01529374361636206	-0.007027776457698877	-0.028359014367873418	-0.018047024064181162	0.05554912882666139	0.05604171371554704	0.031175076055885407	0.06607733573021513	0.059865891038349626	0.048095141097559954	0.07849935543372377	0.041574722231213244	0.004805549560595447	0.05390809514702106	0.06227088510239199
Fantom5Perm_38	0.059251420711474906	0.06134880079840746	0.06259546739187974	0.0001866459333832739	0.004721991001941496	0.004851168846188965	0.0008283421545420094	0.0011271942397473073	0.0024931872748328696	0.034834717736673855	0.02075266673847067	1.0	0.005280128226926126	0.00047453808008724114	0.00786331629847847	0.0002954774259172194	0.0040556249749566994	-0.0007507838698412187	0.0806326091167623	0.014579292619480539	0.00353504637658918	0.0010490670831524917	-0.00018814553788991265	-0.00028837346520795	-0.00011667884183501517	0.9994873857135046	-0.0010520735991976678	0.06391195915565599	0.0639862660527165	0.061467166607430984	-0.0001336288364724108	0.04725123768216985	0.025015849336489874	0.01584829774958937	-0.00027685110430186255	0.03904662005212427	0.014577681731949971	0.0038706326525043597	0.0006189714665779495	-0.0006628908288030821	0.0002168591474860137	-0.0001336288364724108	0.00041683971859387566	0.0002578791000875073	0.0018643243581035404	0.007750994599839193	0.0016222603282126573	0.0037269083382177274	0.0047334467258209915	0.001119970316385651	0.00575128271107032	0.006142775941449512	0.0017114709931075772
GerpRS_38	0.05655589341607836	0.0559317129365409	0.05914923261197034	0.07519662481889246	0.3538213542748395	0.3647845280390366	0.0003651618900818601	0.0037978257497073608	0.0018801583996381377	0.07645854120486874	0.080484240598305	0.005280128226926126	1.0	0.0011627703996640389	-0.03508267192371246	-0.05106220907987021	0.03563809820810466	-0.024249258102537998	0.05302855502811576	-0.03641480095008613	0.3556659993454845	0.17349450572609681	0.0905152255367355	-0.017347958749461215	-0.030077694520579547	0.0052019554177841765	0.0035981349067304306	0.059491227402968305	0.05616474924390873	0.05718438460143831	-0.02991239853818847	0.07441549976946595	0.0742366884017932	0.03273254756030591	0.05030979703260817	0.06321491551876038	-0.03641425935955209	0.8548647189840091	0.017489704691927305	-0.021969662360345633	-0.07479546991830677	-0.02991239853818847	0.00422102043602694	0.0027808865528758096	0.059092279465965875	0.3979372935032964	0.14344832632956828	0.14427109130988297	0.36027245096554406	0.07968833235135706	-0.041172421962003034	0.3369669601436568	0.15631974425110737
GerpRSpv_38	0.00048773598811462847	0.0005197725537263053	0.0004974863833495584	0.02403730753172529	0.0329618630881645	0.03130706194693242	0.00030418773184654304	0.002615361656548782	0.0007290934829486843	0.008043762249931941	0.009347140855858499	0.00047453808008724114	0.0011627703996640389	1.0	-0.014304993786617516	-0.012154386569929102	0.003479786328799154	-0.007946192259259688	0.005003974318228962	-0.028265196724891434	0.03485561900174268	0.043417393785201853	0.02789431857492731	-0.004767161783514936	-0.008967695979244853	0.0004696817406004438	-0.0007941224200625869	0.0006423167476080914	0.0006163854047091192	0.0005964704464408562	-0.008889701074910947	0.005748654314983243	0.006615425291431301	0.003748142502496109	0.010385561283098128	0.004345029328887158	-0.028266477530095334	-0.0030949432509416743	0.03253652477623773	-0.006422804151413271	-0.015408818444945186	-0.008889701074910947	0.0007066936813512593	0.0011332458495579227	0.008755838869758946	0.015332353871526838	0.04129250050850815	0.010897699699777233	0.020383142129204983	0.023241243668866072	-0.013864525672347278	0.016965999679298113	0.04122865477250964
rareVar_38	0.13462145718308177	0.133846114158438	0.13729150213178704	-0.12618860144326124	-0.02593126216468635	-0.04439220037959085	0.006098138635030666	0.04554333211086331	0.01942261888949608	0.0367114112736459	0.007875798094568643	0.00786331629847847	-0.03508267192371246	-0.014304993786617516	1.0	0.4338548488077291	0.3036395336349373	0.039885152976718526	0.07466106976751337	0.2604927005017621	-0.05989462992528094	-0.15245019605628635	-0.13697850632080188	0.007237950857896351	0.06143640679060595	0.007829267744062247	-0.060740559555865825	0.13074597836748814	0.12623126324070624	0.12673961586682428	0.060551494708553484	0.07291094029313325	0.052474617977968874	0.015059313219348763	-0.020649593642101734	0.05916553304418594	0.26048942669992214	-0.03370334600837029	-0.009982204779908297	0.02386706631337863	0.17691302916961496	0.060551494708553484	0.0033429067999297324	-0.0007153485857975504	-0.08526187802212565	-0.012851856782678209	-0.1361932502143884	-0.017223293625085883	-0.0323698177046814	-0.09346888996792653	0.1609819524470727	0.017190674698476696	-0.13566356289230094
commonVar_38	0.06345974888580273	0.05856246929831257	0.06612699811706729	-0.0849191660835314	-0.025838283744471273	-0.04781808745339125	0.0004420226056764858	-0.0013193278917496816	0.0005710470644248596	-0.01652163220548555	-0.021766349170037905	0.0002954774259172194	-0.05106220907987021	-0.012154386569929102	0.4338548488077291	1.0	-0.4553840306924519	0.0925240709355033	-0.001288135134135915	0.10800402716354358	-0.058605551013636854	-0.0973374029807485	-0.09252315602233659	0.056382071766039286	0.13705170415696172	0.0002800130963280675	-0.04651709933596409	0.053441869742572694	0.049228182060150415	0.05241176495949449	0.1370248348421304	-0.002320986064329358	-0.003309582449260667	-0.012314239913430183	-0.04683849880134333	-0.010252021551905867	0.10800472616094738	-0.04278374084085503	-0.00766969796246358	0.08542198208233304	0.587788294013289	0.1370248348421304	-0.001345381663372898	-0.002550225506058442	-0.4777592809212628	-0.025792505152332407	-0.08238183190145223	-0.01607597316284987	-0.04302324863411014	-0.058375963972273924	0.12209729219328025	0.005485066153310252	-0.08013912212556593
fracRareCommon_38	0.03895296505755531	0.04016816243681125	0.03890173412642587	-0.007936605914128113	0.012096607871958721	0.022462774458044527	0.0037058379863180333	0.034422625285508136	0.01275692946500602	0.04517832877727775	0.03318209960738747	0.0040556249749566994	0.03563809820810466	0.003479786328799154	0.3036395336349373	-0.4553840306924519	1.0	-0.06466342041824191	0.05456374608306973	0.07297566586656105	0.023663681354952653	-0.014872388855107551	-0.009181372325515283	-0.06775292248170035	-0.10776551394202513	0.004030961786247941	0.014842076073425234	0.04135523092584977	0.041542576609534025	0.040658333648574047	-0.11464119143079701	0.05223049237337805	0.04412293298649003	0.02334934039039178	0.03874731498273845	0.04805626807622627	0.07297968638001973	0.02819476505424678	0.0010469966108707213	-0.08598247273972358	-0.5849396186345905	-0.11464119143079701	0.003876985742680359	0.00192153241958822	0.6358055108518944	0.019346984526633724	-0.014997820808751672	0.004197745614690644	0.02546092399047596	-0.008236316078333911	0.050601391914117624	0.01539929943864859	-0.015818537503098164
dbVARCount_38	0.02404673352957561	0.022916431596608746	0.02343336372406118	-0.022880061526916136	-0.020906240605153958	-0.030712904955797572	-0.0015922994174392808	-0.01313133880894676	-0.005436258926918431	-0.005042543736367137	-0.0020729789354526035	-0.0007507838698412187	-0.024249258102537998	-0.007946192259259688	0.039885152976718526	0.0925240709355033	-0.06466342041824191	1.0	-0.005996859717076483	0.06235471990931327	-0.03554483847686296	-0.03065455343693311	-0.028076953231920016	0.6349115090160379	0.166866290522294	-0.0007606379870583915	-0.10958403595887709	0.022026764685287283	0.021565792308847562	0.022577372665212984	0.16536898205019906	0.00894224175145975	0.026801262368233093	-0.0004558810500228649	-0.004162103456119698	-0.0013804362021166523	0.0623543149719394	-0.014384003449397293	-0.0025467672112568064	0.6789700132719028	0.1230071704752318	0.16536898205019906	0.001161612275541085	-0.0002950273149225843	-0.039883437571039064	-0.022294138021697187	-0.029027265443625015	-0.0034860721318964423	-0.02939132619240624	-0.01785285636310198	0.150840627927214	-0.016087376796788816	-0.02696538539184316
numTFBSConserved_38	0.3831213565971349	0.39279410545303384	0.39178054319711936	0.012500168107151561	0.024887979963345838	0.023251463147608672	0.009695363256067006	0.05365706712199901	0.02742648055451625	0.5263792542345503	0.4222015544166896	0.0806326091167623	0.05302855502811576	0.005003974318228962	0.07466106976751337	-0.001288135134135915	0.05456374608306973	-0.005996859717076483	1.0	0.1869868646843146	0.024997698247577194	0.01567523919957982	0.009378174626530808	-0.009848528339171086	-0.0019486830698272149	0.08053015600868157	-0.01334544420262373	0.3943506491320449	0.39695868170399234	0.38589577509237816	-0.002261431816272886	0.5995096754815213	0.45908988281164775	0.28396674277024325	0.2743684256651014	0.45085804191384055	0.18698620227693144	0.03522137413455625	0.009823286714256538	-0.009806458079021283	-0.008208686994619475	-0.002261431816272886	0.08489405262352454	0.06582991917143524	0.0246731624081685	0.035390170318898545	0.025588955524883248	0.0354609443988244	0.03540035046377947	0.019493886121846264	0.03559651417408316	0.02694234361849078	0.026686157106109484
GCContent_38	0.20560030716890607	0.2051940779518613	0.20242943314866985	-0.12710127709243665	-0.06286909298700788	-0.10730383795605834	0.010236411152395854	0.0868479733599931	0.025343553538712964	0.1591842218670911	0.16713680284583973	0.014579292619480539	-0.03641480095008613	-0.028265196724891434	0.2604927005017621	0.10800402716354358	0.07297566586656105	0.06235471990931327	0.1869868646843146	1.0	-0.12463786306112207	-0.1670332525619881	-0.1455976314834656	0.013465150809615632	0.03237587492289675	0.014483175444285385	-0.05830969599719726	0.19966916605446425	0.20181747081028867	0.20195235605121659	0.0331549020203993	0.2317591619819051	0.2839848781616734	0.10323968123475617	0.2006414192185319	0.1322976964689984	0.9999938349826146	-0.03771604923349174	-0.016631196053283018	0.029291572094383614	0.09829954445492822	0.0331549020203993	0.018311843920985116	0.014663016266480283	0.005251883672452127	-0.04242611501448147	-0.13729310783539272	-0.007875743685404014	-0.06522175680312028	-0.07758314107529124	0.19734074395531884	-0.0314240071454654	-0.1382977656206443
priPhastCons_38	0.005829156274805215	0.006301806555506908	0.007146037869408	0.19848751350857385	0.48240041823082186	0.7542596976261279	2.686970432597672e-05	0.00403451561579642	0.00039201824668082247	0.0541390946706789	0.07098103125994332	0.00353504637658918	0.3556659993454845	0.03485561900174268	-0.05989462992528094	-0.058605551013636854	0.023663681354952653	-0.03554483847686296	0.024997698247577194	-0.12463786306112207	1.0	0.22301690074019528	0.19246907352907747	-0.0240019732013252	-0.034368026110571784	0.0035195835352335235	0.014270805448128775	0.007443040802090085	0.006162591107423608	0.005963817641922048	-0.03380328305467544	0.03718935354220379	0.04514194708230586	0.010343992092804986	0.024287953921153266	0.0168808373838932	-0.12463837122639596	0.3571613653044944	0.04091165590772254	-0.02905625438753227	-0.07575545194097645	-0.03380328305467544	0.0029517536980366134	0.0029154370413981517	0.044498827397052805	0.5317054034877761	0.1900452980949071	0.15225506885935167	0.7882909913189459	0.16870249092553205	-0.0641972332946058	0.48048416370333985	0.20059761607868043
verPhyloP_38	-0.005206313379280063	-0.00439771010411061	-0.004080492018519349	0.5972147818116286	0.27979128897927547	0.2225464460711474	-0.000546309521708725	-0.0030088154431491053	-0.002511506265367299	0.039720385263468216	0.05430788319147926	0.0010490670831524917	0.17349450572609681	0.043417393785201853	-0.15245019605628635	-0.0973374029807485	-0.014872388855107551	-0.03065455343693311	0.01567523919957982	-0.1670332525619881	0.22301690074019528	1.0	0.5902726128255132	-0.01861167565867569	-0.03993049737185265	0.0010324899505130681	0.014815012457299916	-0.0025068876047726913	-0.003066368828659647	-0.0036371093940654312	-0.039696170266345046	0.027767231373264346	0.03940799923879575	0.02091568476172936	0.05709752049523799	0.02381089552660633	-0.16703394635579466	0.16479317273877364	0.03420447908644517	-0.023907250192677018	-0.09238092011192858	-0.039696170266345046	0.0028338621440590255	0.0032889986784978326	0.050920242729686045	0.20849333892037458	0.6600722983017343	0.07547499095733208	0.18994683758236613	0.46427169461661044	-0.07535288382368735	0.2113560173969615	0.674753399866962
